rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,CurrentDate,Nation
1,1,0,OLD,20162181,프리즌,2017-03-23,385939900,21.8,-1948100,-0.5,19230106740,51173,-528,-1,2378417,661,2775,2017-04-05,
2,2,4,OLD,20171381,라이프,2017-04-05,330951300,18.7,273348000,474.5,441541500,42630,35282,480.2,56845,533,2773,2017-04-05,
3,3,-1,OLD,20164721,미녀와 야수,2017-03-16,321218300,18.2,-10920800,-3.3,34767983776,42189,-2034,-4.6,4233268,620,2546,2017-04-05,
4,4,4,OLD,20167901,어느날,2017-04-05,180031700,10.2,161747700,884.6,216786700,24326,21783,856.6,29534,457,1933,2017-04-05,
5,5,-2,OLD,20163194,공각기동대 : 고스트 인 더 쉘,2017-03-29,146268600,8.3,-87493700,-37.4,5351802237,19047,-10351,-35.2,651472,482,1829,2017-04-05,
6,6,16,OLD,20161923,시간위의 집,2017-04-05,116057900,6.6,110137900,1860.4,163820500,15518,15044,3173.8,21604,407,1657,2017-04-05,
7,7,-3,OLD,20151230,원라인,2017-03-29,103658400,5.9,-55885200,-35,2670765533,14339,-7415,-34.1,351725,398,1068,2017-04-05,
8,8,-3,OLD,20167363,히든 피겨스,2017-03-23,65012600,3.7,-5580600,-7.9,2499799633,8802,-886,-9.1,315837,260,617,2017-04-05,
9,9,-2,OLD,20167902,보통사람,2017-03-23,12324500,0.7,-25226000,-67.2,2925843523,1782,-3547,-66.6,379023,116,187,2017-04-05,
10,10,-1,OLD,20167364,미스 슬로운,2017-03-29,13234000,0.7,-2892500,-17.9,220020500,1740,-442,-20.3,28451,76,149,2017-04-05,
1,1,0,OLD,20162181,프리즌,2017-03-23,385939900,47.1,-1948100,-0.5,19230106740,51173,-528,-1,2378417,661,2775,2017-04-05,K
2,2,2,OLD,20167901,어느날,2017-04-05,180031700,21.9,161747700,884.6,216786700,24326,21783,856.6,29534,457,1933,2017-04-05,K
3,3,3,OLD,20161923,시간위의 집,2017-04-05,116057900,14.1,110137900,1860.4,163820500,15518,15044,3173.8,21604,407,1657,2017-04-05,K
4,4,-2,OLD,20151230,원라인,2017-03-29,103658400,12.6,-55885200,-35,2670765533,14339,-7415,-34.1,351725,398,1068,2017-04-05,K
5,5,-2,OLD,20167902,보통사람,2017-03-23,12324500,1.5,-25226000,-67.2,2925843523,1782,-3547,-66.6,379023,116,187,2017-04-05,K
6,6,22,OLD,20151227,아빠는 딸,2017-04-12,11748000,1.4,11748000,100,15844000,1512,1512,100,2024,6,6,2017-04-05,K
7,7,-2,OLD,20179442,밤의 해변에서 혼자,2017-03-23,9054000,1.1,-838500,-8.5,343969800,1258,-140,-10,44814,60,142,2017-04-05,K
8,8,2,OLD,20168341,하얀 까마귀, ,266000,0.0,108000,68.4,3532000,133,54,68.4,1766,1,2,2017-04-05,K
9,9,7,OLD,20158799,눈길,2017-03-01,655500,0.1,610500,1356.7,966356600,124,119,2380,129106,7,8,2017-04-05,K
10,10,10,OLD,20172601,만담강호,2017-03-22,86000,0.0,66000,330,9454000,13,10,333.3,1190,2,2,2017-04-05,K
1,1,3,OLD,20171381,라이프,2017-04-05,330951300,34.9,273348000,474.5,441541500,42630,35282,480.2,56845,533,2773,2017-04-05,F
